Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\Core\NBB.Core.Configuration\NBB.Core.Configuration.csproj,File,src\Core\NBB.Core.Configuration\NBB.Core.Configuration.csproj,,,Microsoft.Extensions.Configuration.Abstractions 9.0.0,,,,,"Microsoft.Extensions.Configuration.Abstractions, 9.0.0  Recommendation:  Remove Microsoft.Extensions.Configuration.Abstractions, and replace with new package Microsoft.Extensions.Configuration.Abstractions 10.0.1"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\Core\NBB.Core.Configuration\NBB.Core.Configuration.csproj,File,src\Core\NBB.Core.Configuration\NBB.Core.Configuration.csproj,,,Microsoft.Extensions.Configuration.FileExtensions 9.0.0,,,,,"Microsoft.Extensions.Configuration.FileExtensions, 9.0.0  Recommendation:  Remove Microsoft.Extensions.Configuration.FileExtensions, and replace with new package Microsoft.Extensions.Configuration.FileExtensions 10.0.1"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\Core\NBB.Core.Configuration\NBB.Core.Configuration.csproj,File,src\Core\NBB.Core.Configuration\NBB.Core.Configuration.csproj,,,Microsoft.Extensions.FileProviders.Abstractions 9.0.0,,,,,"Microsoft.Extensions.FileProviders.Abstractions, 9.0.0  Recommendation:  Remove Microsoft.Extensions.FileProviders.Abstractions, and replace with new package Microsoft.Extensions.FileProviders.Abstractions 10.0.1"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\Core\NBB.Core.Configuration\NBB.Core.Configuration.csproj,File,src\Core\NBB.Core.Configuration\NBB.Core.Configuration.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,test\UnitTests\Core\NBB.Core.Configuration.Tests\NBB.Core.Configuration.Tests.csproj,File,test\UnitTests\Core\NBB.Core.Configuration.Tests\NBB.Core.Configuration.Tests.csproj,,,Microsoft.Extensions.Configuration 9.0.0,,,,,"Microsoft.Extensions.Configuration, 9.0.0  Recommendation:  Remove Microsoft.Extensions.Configuration, and replace with new package Microsoft.Extensions.Configuration 10.0.1"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,test\UnitTests\Core\NBB.Core.Configuration.Tests\NBB.Core.Configuration.Tests.csproj,File,test\UnitTests\Core\NBB.Core.Configuration.Tests\NBB.Core.Configuration.Tests.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\Core\NBB.Core.DependencyInjection\NBB.Core.DependencyInjection.csproj,File,src\Core\NBB.Core.DependencyInjection\NBB.Core.DependencyInjection.csproj,,,Microsoft.Extensions.DependencyInjection.Abstractions 9.0.0,,,,,"Microsoft.Extensions.DependencyInjection.Abstractions, 9.0.0  Recommendation:  Remove Microsoft.Extensions.DependencyInjection.Abstractions, and replace with new package Microsoft.Extensions.DependencyInjection.Abstractions 10.0.1"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\Core\NBB.Core.DependencyInjection\NBB.Core.DependencyInjection.csproj,File,src\Core\NBB.Core.DependencyInjection\NBB.Core.DependencyInjection.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\Core\NBB.Core.Effects\NBB.Core.Effects.csproj,File,src\Core\NBB.Core.Effects\NBB.Core.Effects.csproj,,,Microsoft.Extensions.DependencyInjection 9.0.0,,,,,"Microsoft.Extensions.DependencyInjection, 9.0.0  Recommendation:  Remove Microsoft.Extensions.DependencyInjection, and replace with new package Microsoft.Extensions.DependencyInjection 10.0.1"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\Core\NBB.Core.Effects\NBB.Core.Effects.csproj,File,src\Core\NBB.Core.Effects\NBB.Core.Effects.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\Core\NBB.Core.Effects.FSharp\NBB.Core.Effects.FSharp.fsproj,File,src\Core\NBB.Core.Effects.FSharp\NBB.Core.Effects.FSharp.fsproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,test\UnitTests\Core\NBB.Core.Effects.FSharp.Tests\NBB.Core.Effects.FSharp.Tests.fsproj,File,test\UnitTests\Core\NBB.Core.Effects.FSharp.Tests\NBB.Core.Effects.FSharp.Tests.fsproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,test\UnitTests\Core\NBB.Core.Effects.Tests\NBB.Core.Effects.Tests.csproj,File,test\UnitTests\Core\NBB.Core.Effects.Tests\NBB.Core.Effects.Tests.csproj,,,Microsoft.Extensions.DependencyInjection 9.0.0,,,,,"Microsoft.Extensions.DependencyInjection, 9.0.0  Recommendation:  Remove Microsoft.Extensions.DependencyInjection, and replace with new package Microsoft.Extensions.DependencyInjection 10.0.1"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,test\UnitTests\Core\NBB.Core.Effects.Tests\NBB.Core.Effects.Tests.csproj,File,test\UnitTests\Core\NBB.Core.Effects.Tests\NBB.Core.Effects.Tests.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\Core\NBB.Core.Evented.FSharp\NBB.Core.Evented.FSharp.fsproj,File,src\Core\NBB.Core.Evented.FSharp\NBB.Core.Evented.FSharp.fsproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,test\UnitTests\Core\NBB.Core.Evented.FSharp.Tests\NBB.Core.Evented.FSharp.Tests.fsproj,File,test\UnitTests\Core\NBB.Core.Evented.FSharp.Tests\NBB.Core.Evented.FSharp.Tests.fsproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\Core\NBB.Core.FSharp\NBB.Core.FSharp.fsproj,File,src\Core\NBB.Core.FSharp\NBB.Core.FSharp.fsproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
